zone_id,calibration_zip_prefix_count,calibration_order_count,calibration_probability,holdout_order_count,holdout_probability,center_latitude,center_longitude,x_km_from_demand_center,y_km_from_demand_center,center_distance_from_demand_center_km
Z01,245,975,0.1119146005509642,345,0.11245110821382008,-23.608044175979643,-46.62216047009439,1.0575117492405275,-3.94545196274189,4.0847181408373325
Z02,69,303,0.03477961432506887,102,0.033246414602346806,-23.756047252930443,-46.700523114987185,-6.937906064841938,-20.31074419350003,21.463011677263882
Z03,152,776,0.08907254361799816,277,0.09028683181225554,-23.522443232511314,-46.440374908666314,19.605271567372583,5.519786760324925,20.367491723574755
Z04,229,641,0.07357667584940313,218,0.0710560625814863,-23.474598662220885,-46.71999829372725,-8.924977726904954,10.810152275618668,14.01836722474529
Z05,178,672,0.07713498622589532,211,0.06877444589308997,-23.657967607848917,-46.75584794036829,-12.582752471165978,-9.465685518255267,15.745629935989891
Z06,286,803,0.09217171717171717,290,0.09452411994784876,-23.48155708179757,-46.617359600389506,1.5473492121552106,10.040731989346456,10.159261216557166
Z07,175,552,0.06336088154269973,161,0.05247718383311604,-23.58727115973135,-46.49667561614141,13.860854950147896,-1.6484964641034487,13.958540057656496
Z08,155,525,0.060261707988980714,184,0.05997392438070404,-23.57214491835989,-46.74517117820122,-11.493391914944958,0.02407254930469198,11.493417124517501
Z09,165,550,0.06313131313131314,172,0.0560625814863103,-23.668243988061278,-46.670072636865626,-3.831013800632274,-10.601985983856716,11.272922138581869
Z10,329,864,0.09917355371900827,273,0.08898305084745763,-23.54644356943273,-46.55941335353839,7.4596618321094015,2.865973505576616,7.991267658143913
Z11,354,1375,0.15782828282828282,570,0.18578878748370273,-23.547755939875767,-46.65916745212012,-2.7183470638300613,2.7208594562077604,3.8461002248860736
Z12,176,676,0.0775941230486685,265,0.0863754889178618,-23.604502827286975,-46.68219824711089,-5.068201752802629,-3.5538708723988672,6.1900458144343915
