Condition,Scenarios,VIPAdaptiveMinusFixed,VIPLower,VIPUpper,CompletionAdaptiveMinusFixed,CompletionLower,CompletionUpper,EnergyAdaptiveMinusFixed,EnergyLower,EnergyUpper,PolicyHsAdaptiveMinusFixed,PolicyHsLower,PolicyHsUpper,MaxGuardedUnsafePct
"Low inertia: fixed 10; adaptive [10,20]",20,-1.25,-3.86628006801039,1.36628006801039,-0.357142857142857,-1.10465144800297,0.390365733717253,-0.1528740421111,-0.925215485687845,0.619467401465645,1.5,-1.63953608161246,4.63953608161246,0
"Frozen: fixed 20; adaptive [10,50]",20,0,0,0,1.06356743378235,-2.41217409768206,4.53930896524676,-1.83455714452072,-4.89775988951063,1.22864560046919,0,-9.3602881283984,9.3602881283984,0
"High inertia: fixed 50; adaptive [25,50]",20,-5.41666666666667,-16.7538802947117,5.92054696137834,2.6155484105045,-2.47648079238582,7.70757761339482,0.550468087244941,-1.18827205486551,2.28920822935539,5.5,-9.25896386291621,20.2589638629162,0
