FleetSize,Scenarios,VIPDelta,VIPLower,VIPUpper,CompletionDelta,CompletionLower,CompletionUpper,EnergyDelta,EnergyLower,EnergyUpper,PolicyHsDelta,PolicyHsLower,PolicyHsUpper,AccessDelta,AccessLower,AccessUpper,ForcedSafetyDelta,ForcedSafetyLower,ForcedSafetyUpper,MaxGuardedUnsafePct
2,60,11.3055555555556,2.99956548696884,19.6115456241423,5.64155268558358,3.87052980865159,7.41257556251557,10.3351553829104,6.51332505613698,14.1569857096838,-44.5,-57.6758130410161,-31.3241869589839,-44.8717948717949,-48.0810536231758,-41.6625361204139,-0.341880341880342,-1.46931979525309,0.785559111492409,0
3,60,11.3611111111111,2.15505120526431,20.5671710169579,5.6891403602935,4.08872992583365,7.28955079475335,12.1570325686062,8.22947264248661,16.0845924947258,-44.6666666666667,-58.8833611191808,-30.4499722141526,-44.8290598290598,-48.2208007008439,-41.4373189572757,-0.555555555555555,-1.68710986525474,0.575998754143633,0
4,60,11.8611111111111,3.1269904989152,20.595231723307,5.91406902819526,4.04668781806112,7.7814502383294,12.7586570144058,8.81145561453623,16.7058584142753,-48.1666666666667,-63.2558086131954,-33.077524720138,-44.017094017094,-47.778265688241,-40.255922345947,-0.769230769230769,-1.90869833335961,0.370236794898067,0
