Condition,Scenarios,VIPDelta,VIPLower,VIPUpper,CompletionDelta,CompletionLower,CompletionUpper,EnergyDelta,EnergyLower,EnergyUpper,PolicyHsDelta,PolicyHsLower,PolicyHsUpper,AccessDelta,AccessLower,AccessUpper,ForcedSafetyDelta,ForcedSafetyLower,ForcedSafetyUpper,MaxGuardedUnsafePct
Primary P90 (reference),60,9.86111111111111,-0.294190235108642,20.0164124573309,4.77926351639455,2.33556248862154,7.22296454416757,11.4156476735311,8.61065857414242,14.2206367729198,-49.6666666666667,-64.202004847672,-35.1313284856614,-45.3846153846154,-48.8410928416004,-41.9281379276303,-0.854700854700855,-1.95002308214414,0.24062137274243,0
Weather P80 threshold,20,13.3333333333333,-6.03958183352641,32.7062485001931,6.07691798531982,1.60159368254452,10.5522422880951,12.1187574476605,6.33000675170902,17.9075081436121,-57,-83.2167231009051,-30.7832768990949,-46.6666666666667,-53.9255981301137,-39.4077352032196,-1.02564102564103,-2.3966605977528,0.345378546470746,0
Wind ordinary gate off,20,22.9166666666667,-0.78573676570905,46.6190700990424,3.03395879922645,-2.50003498569755,8.56795258415045,11.8151114335402,5.76861176467866,17.8616111024017,-45,-67.6496985752434,-22.3503014247566,-56.025641025641,-60.2777807281905,-51.7735013230916,-0.128205128205128,-2.41425104625106,2.1578407898408,0
Low-SoC ordinary gate off,20,8.75,-11.0753018044949,28.5753018044949,5.8633838348975,0.870942801602922,10.8558248681921,11.1273902829631,7.09047709442943,15.1643034714968,-43.5,-62.0520095424902,-24.9479904575098,-56.025641025641,-60.0393730066184,-52.0119090446637,-0.384615384615385,-3.00437861039716,2.23514784116639,0
PlanChangeScale = 5,20,3.21428571428571,-7.66945353963491,14.0980249682063,7.11389187891227,0.78571782673145,13.4420659310931,9.95140101491604,6.1418417338602,13.7609602959719,-32.75,-44.2259002969582,-21.2740997030418,-42.948717948718,-49.3210574248789,-36.576378472557,-0.641025641025641,-2.09129712579402,0.809245843742743,0
PlanChangeScale = 20,20,-11.6666666666667,-29.7574186124044,6.4240852790711,10.3014853606571,5.54005141451936,15.0629193067949,10.641136651783,6.44645277072364,14.8358205328423,-105,-167.818255385659,-42.1817446143414,-45.8974358974359,-53.2218534273518,-38.57301836752,0.128205128205128,-3.11703688520805,3.37344714161831,0
Window H = 2,20,10,-2.24204854721642,22.2420485472164,2.03158265286873,-4.30224201129103,8.36540731702849,4.70259994198436,2.05877954290819,7.34642034106052,-5.5,-17.2102089502557,6.21020895025573,-36.9230769230769,-41.2656086711448,-32.580545175009,-1.66666666666667,-3.13769443369714,-0.195638899636192,0
Window H = 3,20,14.75,-3.93509087585546,33.4350908758555,6.20151968550138,2.25782482353301,10.1452145474698,8.25512558375709,4.39520147585846,12.1150496916557,-27.5,-42.3679163009749,-12.6320836990251,-42.8205128205128,-48.2027540110108,-37.4382716300148,-1.15384615384615,-4.39908816725934,2.09139585956703,0
Window H = 4,20,11.6666666666667,-2.8932927880126,26.2266261213459,11.7906417228136,7.23068223273085,16.3506012128963,9.34583338817083,4.77324538530247,13.9184213910392,-83,-108.367480624339,-57.632519375661,-49.6153846153846,-56.8499988581026,-42.3807703726666,1.28205128205128,-1.892948024058,4.45705058816056,0
