FleetSize,Policy,DroneIndex,MeanActions,T95Lower,T95Upper
2,AlwaysFixed,1,2.38333333333333,1.67612781780161,3.09053884886505
2,AlwaysFixed,2,12.7333333333333,11.3865103079577,14.0801563587089
2,ETFixed,1,3.55,2.82178199145856,4.27821800854144
2,ETFixed,2,12.8333333333333,11.4963721301957,14.1702945364709
3,AlwaysFixed,1,2.4,1.66286683076807,3.13713316923193
3,AlwaysFixed,2,12.7,11.37141221333,14.02858778667
3,AlwaysFixed,3,0.0166666666666667,-0.0166832563014712,0.0500165896348045
3,ETFixed,1,3.63333333333333,2.89196710248938,4.37469956417728
3,ETFixed,2,12.5666666666667,11.269902522056,13.8634308112774
3,ETFixed,3,0.25,0.11866533328338,0.38133466671662
4,AlwaysFixed,1,1.15,0.735842374708007,1.56415762529199
4,AlwaysFixed,2,12.35,11.0415498325731,13.6584501674269
4,AlwaysFixed,3,0,0,0
4,AlwaysFixed,4,1.43333333333333,1.02317776676741,1.84348889989926
4,ETFixed,1,2.86666666666667,2.28713932388229,3.44619400945105
4,ETFixed,2,11.9166666666667,10.6871271955979,13.1462061377354
4,ETFixed,3,0.183333333333333,0.062151488956829,0.304515177709838
4,ETFixed,4,1.38333333333333,0.999606518996348,1.76706014767032
