Policy,Outcome,Mean,T95Lower,T95Upper,SD,Scenarios
AlwaysFixed,VIPOnTimeRate,44.4166666666667,34.4151996705042,54.4181336628291,38.7162464620861,60
AlwaysFixed,CompletionRate,73.3473339635293,69.9199105072186,76.77475741984,13.2677507525022,60
AlwaysFixed,EnergyPerOrder,72.4183433983589,68.7993378025598,76.0373489941581,14.0093760893668,60
AlwaysFixed,HsPolicy,239.333333333333,211.381375252806,267.285291413861,108.20361638536,60
AlwaysFixed,HsSafety,44.6666666666667,33.0507753088837,56.2825580244497,44.965774806566,60
AlwaysFixed,PolicyPlanningReleaseRate,94.7008547008547,93.6456442255478,95.7560651761616,4.08477964752895,60
AlwaysFixed,ForcedSafetyTriggerRate,5.51282051282051,4.42322750175424,6.60241352388679,4.2178763951323,60
AlwaysFixed,PlanningTime,3.425905015,3.18398409371263,3.66782593628737,0.936489618622001,60
AlwaysFixed,UnsafeExecutionRate,0,0,0,0,60
ETFixed,VIPOnTimeRate,54.2777777777778,44.143202903658,64.4123526518975,39.2315146133501,60
ETFixed,CompletionRate,78.1265974799238,74.6044998448742,81.6486951149734,13.634239872454,60
ETFixed,EnergyPerOrder,83.8339910718901,80.1057882169111,87.562193926869,14.4320848780887,60
ETFixed,HsPolicy,189.666666666667,170.091210896749,209.242122436584,75.7777004600011,60
ETFixed,HsSafety,35,24.1385799760404,45.8614200239596,42.0451734467762,60
ETFixed,PolicyPlanningReleaseRate,49.3162393162393,46.1965924976449,52.4358861348337,12.0763299173717,60
ETFixed,ForcedSafetyTriggerRate,4.65811965811966,3.5305153221877,5.78572399405161,4.36502039134952,60
ETFixed,PlanningTime,1.74176879166667,1.56923090617022,1.91430667716311,0.667903948639811,60
ETFixed,UnsafeExecutionRate,0,0,0,0,60
AlwaysAdaptive,VIPOnTimeRate,42.9444444444444,32.8845479966245,53.0043408922644,38.9424301861222,60
AlwaysAdaptive,CompletionRate,71.0746371388079,67.4189089031001,74.7303653745156,14.1515315129645,60
AlwaysAdaptive,EnergyPerOrder,68.1997982802996,64.4083848139225,71.9912117466767,14.676776742877,60
AlwaysAdaptive,HsPolicy,234.833333333333,206.167685201282,263.498981465385,110.966351086473,60
AlwaysAdaptive,HsSafety,45.8333333333333,33.5011970263276,58.165469640339,47.7383996616967,60
AlwaysAdaptive,PolicyPlanningReleaseRate,95.2564102564102,94.2228574688787,96.2899630439418,4.00094150878084,60
AlwaysAdaptive,ForcedSafetyTriggerRate,4.87179487179487,3.78990710166101,5.95368264192873,4.18804897010521,60
AlwaysAdaptive,PlanningTime,3.51762485,3.26210295062034,3.77314674937966,0.989139776858641,60
AlwaysAdaptive,UnsafeExecutionRate,0,0,0,0,60
ETAdaptive,VIPOnTimeRate,59.4166666666667,48.9985338824877,69.8347994508456,40.3291833789759,60
ETAdaptive,CompletionRate,77.8079622944245,74.2606300379015,81.3552945509474,13.731924524587,60
ETAdaptive,EnergyPerOrder,82.2888247933878,78.7622375737337,85.8154120130419,13.6516193093033,60
ETAdaptive,HsPolicy,187,166.315755459455,207.684244540545,80.0698847300155,60
ETAdaptive,HsSafety,24.8333333333333,16.8111196271995,32.8555470394672,31.0544446267108,60
ETAdaptive,PolicyPlanningReleaseRate,49.6581196581197,46.2939517627267,53.0222875535126,13.0228848855719,60
ETAdaptive,ForcedSafetyTriggerRate,4.18803418803419,3.11119877642612,5.26486959964226,4.16849100346146,60
ETAdaptive,PlanningTime,1.76354559333333,1.57978322380839,1.94730796285827,0.711354563456978,60
ETAdaptive,UnsafeExecutionRate,0,0,0,0,60
AlwaysMyopic,VIPOnTimeRate,0.555555555555555,-0.556108543382373,1.66721965449348,4.30331482911935,60
AlwaysMyopic,CompletionRate,43.5513095142812,41.2062679881123,45.8963510404501,9.07778886095593,60
AlwaysMyopic,EnergyPerOrder,78.7435411595513,74.7562655697994,82.7308167493032,15.434970140313,60
AlwaysMyopic,HsPolicy,1172.33333333333,1092.09681636982,1252.56985029684,310.600111684673,60
AlwaysMyopic,HsSafety,164.5,121.976803379186,207.023196620814,164.609707891738,60
AlwaysMyopic,PolicyPlanningReleaseRate,92.9059829059829,91.2455907788531,94.5663750331127,6.42747217406524,60
AlwaysMyopic,ForcedSafetyTriggerRate,7.13675213675214,5.4731161428591,8.80038813064517,6.44002936643937,60
AlwaysMyopic,PlanningTime,3.7077702,3.48194580076441,3.93359459923559,0.874179068061933,60
AlwaysMyopic,UnsafeExecutionRate,0,0,0,0,60
